data,1241670900,1328920.0;48970.0;1335393.0;61471.0;1256348.0;46683.0;1333183.0;54683.0;1.2491940769;1.00836447793;1.11309260901,8156.0 201.0 109628;24131.0 1176.0 109635;1281.0 21.0 109648;8184.0 324.0 109652;5818.0 220.0 109656;2574.0 36.0 109660;3886.0 155.0 109661;18167.0 1096.0 109662;5722.0 261.0 109663;1994.0 42.0 109665;2220.0 74.0 109666;1864.0 37.0 109667;2931.0 112.0 109668;22281.0 1462.0 109670;2197.0 82.0 109671;2043.0 94.0 109674;8578.0 557.0 109676;968.0 27.0 109678;1020.0 38.0 109679;513.0 12.0 109680;378.0 12.0 109681;685.0 37.0 109682;50.0 4.0 109683,109628.0 18865;109635.0 18865;109648.0 18865;109652.0 18865;109656.0 18865;109660.0 18865;109661.0 18865;109662.0 18865;109663.0 18865;109665.0 18865;109666.0 18865;109667.0 18865;109668.0 18865;109670.0 18865;109671.0 18865;109674.0 18865;109676.0 18865;109678.0 18865;109679.0 18865;109680.0 18865;109681.0 18865;109682.0 18865;109683.0 18865,109628 804;109635 821;109648 756;109652 825;109656 850;109660 800;109661 815;109662 786;109663 809;109665 828;109666 827;109667 827;109668 855;109670 820;109671 830;109674 835;109676 801;109678 783;109679 853;109680 838;109681 858;109682 812;109683 832
data,1241670900,1328954.0;48971.0;1335435.0;61472.0;1256397.0;46684.0;1333236.0;54684.0;1.24918156089;1.00835195773;1.1130744627,8158.0 201.0 109628;24134.0 1176.0 109635;1282.0 21.0 109648;8189.0 324.0 109652;5819.0 220.0 109656;2576.0 36.0 109660;3887.0 155.0 109661;18169.0 1096.0 109662;5725.0 261.0 109663;1994.0 42.0 109665;2221.0 74.0 109666;1866.0 37.0 109667;2932.0 112.0 109668;22282.0 1462.0 109670;2200.0 82.0 109671;2044.0 94.0 109674;8580.0 558.0 109676;970.0 27.0 109678;1021.0 38.0 109679;514.0 12.0 109680;382.0 12.0 109681;686.0 37.0 109682;52.0 4.0 109683,109628.0 1135;109635.0 1135;109648.0 1135;109652.0 1135;109656.0 1135;109660.0 1135;109661.0 1135;109662.0 1135;109663.0 1135;109665.0 1135;109666.0 1135;109667.0 1135;109668.0 1135;109670.0 1135;109671.0 1135;109674.0 1135;109676.0 1135;109678.0 1135;109679.0 1135;109680.0 1135;109681.0 1135;109682.0 1135;109683.0 1135,109628 52;109635 48;109648 56;109652 43;109656 40;109660 59;109661 53;109662 32;109663 59;109665 40;109666 52;109667 52;109668 50;109670 56;109671 56;109674 33;109676 59;109678 52;109679 50;109680 41;109681 49;109682 48;109683 55
data,1241671500,1329842.0;49007.0;1336294.0;61494.0;1257215.0;46708.0;1334089.0;54699.0;1.24874180878;1.00814649578;1.11259348051,8207.0 201.0 109628;24159.0 1176.0 109635;1304.0 21.0 109648;8233.0 325.0 109652;5858.0 221.0 109656;2608.0 36.0 109660;3923.0 156.0 109661;18210.0 1099.0 109662;5770.0 263.0 109663;2025.0 42.0 109665;2262.0 74.0 109666;1901.0 37.0 109667;2969.0 113.0 109668;22323.0 1466.0 109670;2225.0 82.0 109671;2081.0 95.0 109674;8641.0 560.0 109676;994.0 27.0 109678;1058.0 39.0 109679;559.0 14.0 109680;414.0 13.0 109681;721.0 38.0 109682;97.0 5.0 109683,109628.0 20000;109635.0 20000;109648.0 20000;109652.0 20000;109656.0 20000;109660.0 20000;109661.0 20000;109662.0 20000;109663.0 20000;109665.0 20000;109666.0 20000;109667.0 20000;109668.0 20000;109670.0 20000;109671.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000,109628 925;109635 850;109648 853;109652 795;109656 866;109660 847;109661 853;109662 891;109663 905;109665 922;109666 892;109667 877;109668 873;109670 870;109671 879;109674 873;109676 875;109678 857;109679 817;109680 866;109681 854;109682 858;109683 902
data,1241671800,1330728.0;49035.0;1337147.0;61529.0;1258061.0;46734.0;1334937.0;54712.0;1.24877391347;1.00812496629;1.1122564571,8221.0 201.0 109628;24184.0 1177.0 109635;1335.0 22.0 109648;8264.0 325.0 109652;5885.0 221.0 109656;2638.0 36.0 109660;3952.0 156.0 109661;18251.0 1100.0 109662;5827.0 266.0 109663;2062.0 43.0 109665;2298.0 76.0 109666;1940.0 38.0 109667;3006.0 113.0 109668;22379.0 1471.0 109670;2258.0 85.0 109671;2112.0 96.0 109674;8702.0 564.0 109676;1015.0 27.0 109678;1094.0 39.0 109679;604.0 18.0 109680;452.0 14.0 109681;776.0 43.0 109682;140.0 7.0 109683,109628.0 20000;109635.0 20000;109648.0 20000;109652.0 20000;109656.0 20000;109660.0 20000;109661.0 20000;109662.0 20000;109663.0 20000;109665.0 20000;109666.0 20000;109667.0 20000;109668.0 20000;109670.0 20000;109671.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000,109628 843;109635 813;109648 848;109652 910;109656 793;109660 835;109661 878;109662 895;109663 910;109665 841;109666 875;109667 860;109668 849;109670 908;109671 866;109674 885;109676 900;109678 832;109679 916;109680 887;109681 921;109682 893;109683 842
data,1241672400,1331611.0;49066.0;1337982.0;61569.0;1258941.0;46759.0;1335767.0;54732.0;1.24884502635;1.00799077321;1.11200650503,8244.0 201.0 109628;24205.0 1178.0 109635;1354.0 22.0 109648;8289.0 326.0 109652;5902.0 222.0 109656;2658.0 36.0 109660;3969.0 157.0 109661;18286.0 1100.0 109662;5870.0 267.0 109663;2109.0 46.0 109665;2330.0 77.0 109666;1964.0 39.0 109667;3022.0 113.0 109668;22491.0 1480.0 109670;2314.0 88.0 109671;2142.0 96.0 109674;8776.0 571.0 109676;1033.0 27.0 109678;1123.0 40.0 109679;663.0 21.0 109680;485.0 17.0 109681;835.0 47.0 109682;166.0 7.0 109683,109628.0 20000;109635.0 20000;109648.0 20000;109652.0 20000;109656.0 20000;109660.0 20000;109661.0 20000;109662.0 20000;109663.0 20000;109665.0 20000;109666.0 20000;109667.0 20000;109668.0 20000;109670.0 20000;109671.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000,109628 864;109635 898;109648 830;109652 897;109656 897;109660 884;109661 892;109662 891;109663 876;109665 869;109666 855;109667 861;109668 870;109670 882;109671 873;109674 885;109676 873;109678 922;109679 818;109680 835;109681 838;109682 825;109683 865
data,1241673000,1332513.0;49085.0;1338844.0;61598.0;1259803.0;46789.0;1336654.0;54752.0;1.24899095756;1.00823967781;1.11199707494,8257.0 201.0 109628;24221.0 1178.0 109635;1380.0 24.0 109648;8313.0 327.0 109652;5923.0 222.0 109656;2672.0 36.0 109660;3988.0 158.0 109661;18310.0 1100.0 109662;5903.0 267.0 109663;2161.0 48.0 109665;2360.0 78.0 109666;1982.0 39.0 109667;3050.0 115.0 109668;22646.0 1490.0 109670;2355.0 88.0 109671;2158.0 97.0 109674;8889.0 575.0 109676;1057.0 27.0 109678;1138.0 40.0 109679;727.0 22.0 109680;524.0 17.0 109681;891.0 50.0 109682;187.0 8.0 109683,109628.0 20000;109635.0 20000;109648.0 20000;109652.0 20000;109656.0 20000;109660.0 20000;109661.0 20000;109662.0 20000;109663.0 20000;109665.0 20000;109666.0 20000;109667.0 20000;109668.0 20000;109670.0 20000;109671.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000,109628 887;109635 829;109648 887;109652 906;109656 830;109660 863;109661 858;109662 929;109663 873;109665 919;109666 859;109667 831;109668 844;109670 859;109671 855;109674 840;109676 855;109678 903;109679 839;109680 861;109681 887;109682 893;109683 893
data,1241673300,1333434.0;49115.0;1339730.0;61632.0;1260683.0;46815.0;1337491.0;54764.0;1.24895374587;1.00817635457;1.11163361148,8272.0 202.0 109628;24238.0 1179.0 109635;1401.0 24.0 109648;8332.0 327.0 109652;5947.0 223.0 109656;2690.0 36.0 109660;4017.0 159.0 109661;18334.0 1101.0 109662;5948.0 270.0 109663;2198.0 48.0 109665;2382.0 79.0 109666;2005.0 40.0 109667;3083.0 116.0 109668;22838.0 1502.0 109670;2392.0 89.0 109671;2175.0 97.0 109674;8979.0 575.0 109676;1072.0 27.0 109678;1158.0 43.0 109679;769.0 22.0 109680;559.0 19.0 109681;962.0 52.0 109682;227.0 11.0 109683,109628.0 20000;109635.0 20000;109648.0 20000;109652.0 20000;109656.0 20000;109660.0 20000;109661.0 20000;109662.0 20000;109663.0 20000;109665.0 20000;109666.0 20000;109667.0 20000;109668.0 20000;109670.0 20000;109671.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000,109628 839;109635 875;109648 837;109652 856;109656 917;109660 874;109661 869;109662 856;109663 868;109665 904;109666 811;109667 894;109668 869;109670 899;109671 865;109674 881;109676 892;109678 864;109679 848;109680 876;109681 853;109682 876;109683 877
data,1241673900,1334233.0;49142.0;1340548.0;61665.0;1261582.0;46844.0;1338354.0;54773.0;1.24892171625;1.00813185721;1.11115431645,8291.0 203.0 109628;24255.0 1179.0 109635;1416.0 24.0 109648;8344.0 327.0 109652;5964.0 225.0 109656;2704.0 36.0 109660;4038.0 159.0 109661;18353.0 1103.0 109662;5988.0 272.0 109663;2237.0 49.0 109665;2415.0 80.0 109666;2020.0 40.0 109667;3098.0 116.0 109668;23025.0 1511.0 109670;2445.0 94.0 109671;2195.0 97.0 109674;9066.0 580.0 109676;1081.0 27.0 109678;1188.0 44.0 109679;793.0 23.0 109680;591.0 20.0 109681;1013.0 53.0 109682;276.0 12.0 109683,109628.0 20000;109635.0 20000;109648.0 20000;109652.0 20000;109656.0 20000;109660.0 20000;109661.0 20000;109662.0 20000;109663.0 20000;109665.0 20000;109666.0 20000;109667.0 20000;109668.0 20000;109670.0 20000;109671.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000,109628 850;109635 873;109648 863;109652 829;109656 903;109660 897;109661 895;109662 851;109663 901;109665 876;109666 886;109667 856;109668 846;109670 827;109671 861;109674 895;109676 854;109678 898;109679 888;109680 803;109681 874;109682 899;109683 875
data,1241674500,1335106.0;49175.0;1341413.0;61695.0;1262440.0;46870.0;1339243.0;54789.0;1.24870208456;1.00798852013;1.11072198419,8314.0 205.0 109628;24270.0 1179.0 109635;1428.0 24.0 109648;8362.0 328.0 109652;5995.0 225.0 109656;2718.0 36.0 109660;4051.0 159.0 109661;18379.0 1103.0 109662;6048.0 277.0 109663;2274.0 51.0 109665;2460.0 83.0 109666;2033.0 40.0 109667;3112.0 116.0 109668;23231.0 1521.0 109670;2499.0 95.0 109671;2210.0 97.0 109674;9131.0 581.0 109676;1092.0 27.0 109678;1218.0 45.0 109679;834.0 24.0 109680;633.0 22.0 109681;1061.0 53.0 109682;308.0 13.0 109683,109628.0 20000;109635.0 20000;109648.0 20000;109652.0 20000;109656.0 20000;109660.0 20000;109661.0 20000;109662.0 20000;109663.0 20000;109665.0 20000;109666.0 20000;109667.0 20000;109668.0 20000;109670.0 20000;109671.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000,109628 842;109635 880;109648 889;109652 825;109656 944;109660 903;109661 911;109662 860;109663 884;109665 847;109666 834;109667 855;109668 905;109670 867;109671 852;109674 849;109676 859;109678 819;109679 896;109680 846;109681 907;109682 887;109683 839
data,1241675100,1335898.0;49200.0;1342303.0;61722.0;1263297.0;46895.0;1340106.0;54805.0;1.24852610211;1.00792744837;1.11042499092,8337.0 205.0 109628;24285.0 1180.0 109635;1437.0 24.0 109648;8383.0 328.0 109652;6021.0 225.0 109656;2726.0 36.0 109660;4061.0 159.0 109661;18403.0 1104.0 109662;6102.0 277.0 109663;2318.0 53.0 109665;2512.0 85.0 109666;2046.0 40.0 109667;3133.0 116.0 109668;23482.0 1532.0 109670;2556.0 98.0 109671;2222.0 97.0 109674;9217.0 585.0 109676;1109.0 27.0 109678;1240.0 45.0 109679;856.0 24.0 109680;684.0 24.0 109681;1093.0 54.0 109682;328.0 13.0 109683,109628.0 20000;109635.0 20000;109648.0 20000;109652.0 20000;109656.0 20000;109660.0 20000;109661.0 20000;109662.0 20000;109663.0 20000;109665.0 20000;109666.0 20000;109667.0 20000;109668.0 20000;109670.0 20000;109671.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000,109628 857;109635 831;109648 863;109652 871;109656 934;109660 895;109661 856;109662 851;109663 855;109665 841;109666 821;109667 823;109668 863;109670 933;109671 892;109674 913;109676 886;109678 863;109679 890;109680 877;109681 874;109682 856;109683 855
data,1241675400,1336712.0;49222.0;1343182.0;61757.0;1264196.0;46921.0;1340950.0;54818.0;1.24861894036;1.00793247538;1.11016924696,8351.0 205.0 109628;24309.0 1182.0 109635;1451.0 24.0 109648;8400.0 330.0 109652;6038.0 225.0 109656;2735.0 36.0 109660;4076.0 159.0 109661;18439.0 1105.0 109662;6138.0 277.0 109663;2352.0 54.0 109665;2555.0 86.0 109666;2056.0 41.0 109667;3146.0 116.0 109668;23693.0 1538.0 109670;2630.0 101.0 109671;2232.0 97.0 109674;9334.0 592.0 109676;1127.0 27.0 109678;1268.0 49.0 109679;889.0 26.0 109680;737.0 26.0 109681;1130.0 57.0 109682;344.0 13.0 109683,109628.0 20000;109635.0 20000;109648.0 20000;109652.0 20000;109656.0 20000;109660.0 20000;109661.0 20000;109662.0 20000;109663.0 20000;109665.0 20000;109666.0 20000;109667.0 20000;109668.0 20000;109670.0 20000;109671.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000,109628 898;109635 866;109648 844;109652 876;109656 844;109660 884;109661 877;109662 870;109663 830;109665 828;109666 831;109667 883;109668 841;109670 879;109671 915;109674 847;109676 903;109678 912;109679 841;109680 850;109681 908;109682 921;109683 852
data,1241676000,1337572.0;49250.0;1344074.0;61784.0;1265036.0;46942.0;1341800.0;54835.0;1.24842879123;1.00778905743;1.10989269842,8364.0 205.0 109628;24326.0 1183.0 109635;1458.0 25.0 109648;8416.0 330.0 109652;6056.0 225.0 109656;2747.0 36.0 109660;4089.0 160.0 109661;18470.0 1106.0 109662;6180.0 278.0 109663;2391.0 55.0 109665;2610.0 88.0 109666;2072.0 41.0 109667;3155.0 116.0 109668;23891.0 1543.0 109670;2674.0 102.0 109671;2246.0 98.0 109674;9465.0 596.0 109676;1138.0 27.0 109678;1321.0 52.0 109679;922.0 27.0 109680;785.0 28.0 109681;1177.0 58.0 109682;369.0 14.0 109683,109628.0 20000;109635.0 20000;109648.0 20000;109652.0 20000;109656.0 20000;109660.0 20000;109661.0 20000;109662.0 20000;109663.0 20000;109665.0 20000;109666.0 20000;109667.0 20000;109668.0 20000;109670.0 20000;109671.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000,109628 860;109635 837;109648 850;109652 855;109656 919;109660 844;109661 881;109662 916;109663 893;109665 851;109666 892;109667 868;109668 848;109670 912;109671 774;109674 865;109676 881;109678 888;109679 860;109680 876;109681 890;109682 826;109683 914
data,1241676600,1338467.0;49281.0;1344947.0;61825.0;1265900.0;46968.0;1342655.0;54848.0;1.24849587194;1.00769899107;1.10949287769,8385.0 205.0 109628;24347.0 1185.0 109635;1475.0 25.0 109648;8440.0 332.0 109652;6083.0 227.0 109656;2755.0 36.0 109660;4104.0 160.0 109661;18507.0 1109.0 109662;6217.0 281.0 109663;2425.0 55.0 109665;2673.0 91.0 109666;2081.0 41.0 109667;3168.0 116.0 109668;24095.0 1555.0 109670;2715.0 103.0 109671;2266.0 99.0 109674;9577.0 602.0 109676;1149.0 27.0 109678;1368.0 55.0 109679;951.0 29.0 109680;812.0 28.0 109681;1220.0 59.0 109682;382.0 14.0 109683,109628.0 20000;109635.0 20000;109648.0 20000;109652.0 20000;109656.0 20000;109660.0 20000;109661.0 20000;109662.0 20000;109663.0 20000;109665.0 20000;109666.0 20000;109667.0 20000;109668.0 20000;109670.0 20000;109671.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000,109628 887;109635 866;109648 855;109652 881;109656 863;109660 816;109661 887;109662 876;109663 878;109665 844;109666 844;109667 837;109668 865;109670 904;109671 860;109674 850;109676 889;109678 845;109679 889;109680 939;109681 827;109682 901;109683 897
data,1241677200,1339350.0;49301.0;1345883.0;61851.0;1266772.0;46990.0;1343546.0;54863.0;1.24846902476;1.00773268139;1.1093417685,8404.0 205.0 109628;24395.0 1189.0 109635;1483.0 25.0 109648;8463.0 333.0 109652;6105.0 227.0 109656;2766.0 36.0 109660;4116.0 160.0 109661;18543.0 1110.0 109662;6259.0 282.0 109663;2448.0 55.0 109665;2709.0 91.0 109666;2096.0 41.0 109667;3185.0 116.0 109668;24347.0 1564.0 109670;2759.0 104.0 109671;2283.0 100.0 109674;9675.0 605.0 109676;1162.0 28.0 109678;1438.0 56.0 109679;1000.0 31.0 109680;841.0 29.0 109681;1253.0 59.0 109682;401.0 14.0 109683,109628.0 20000;109635.0 20000;109648.0 20000;109652.0 20000;109656.0 20000;109660.0 20000;109661.0 20000;109662.0 20000;109663.0 20000;109665.0 20000;109666.0 20000;109667.0 20000;109668.0 20000;109670.0 20000;109671.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000,109628 813;109635 900;109648 891;109652 809;109656 870;109660 850;109661 841;109662 941;109663 883;109665 879;109666 847;109667 808;109668 849;109670 942;109671 842;109674 899;109676 851;109678 896;109679 890;109680 909;109681 818;109682 850;109683 922
data,1241677800,1340226.0;49317.0;1346750.0;61889.0;1267656.0;47015.0;1344397.0;54875.0;1.24884307484;1.007897604;1.10924731783,8420.0 206.0 109628;24426.0 1189.0 109635;1498.0 25.0 109648;8482.0 333.0 109652;6113.0 227.0 109656;2782.0 36.0 109660;4127.0 160.0 109661;18588.0 1113.0 109662;6289.0 283.0 109663;2464.0 56.0 109665;2743.0 91.0 109666;2102.0 41.0 109667;3198.0 117.0 109668;24517.0 1569.0 109670;2805.0 107.0 109671;2307.0 102.0 109674;9820.0 613.0 109676;1176.0 29.0 109678;1525.0 60.0 109679;1042.0 34.0 109680;866.0 29.0 109681;1291.0 63.0 109682;417.0 15.0 109683,109628.0 20000;109635.0 20000;109648.0 20000;109652.0 20000;109656.0 20000;109660.0 20000;109661.0 20000;109662.0 20000;109663.0 20000;109665.0 20000;109666.0 20000;109667.0 20000;109668.0 20000;109670.0 20000;109671.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000,109628 899;109635 860;109648 851;109652 883;109656 832;109660 842;109661 895;109662 837;109663 866;109665 857;109666 849;109667 845;109668 841;109670 867;109671 831;109674 896;109676 886;109678 929;109679 925;109680 872;109681 893;109682 856;109683 888
data,1241678400,1341174.0;49345.0;1347662.0;61918.0;1268568.0;47037.0;1345385.0;54890.0;1.24875692434;1.00778487275;1.1088903951,8430.0 206.0 109628;24461.0 1189.0 109635;1510.0 25.0 109648;8507.0 334.0 109652;6124.0 227.0 109656;2791.0 37.0 109660;4135.0 160.0 109661;18611.0 1114.0 109662;6344.0 285.0 109663;2468.0 56.0 109665;2779.0 93.0 109666;2115.0 41.0 109667;3205.0 117.0 109668;24731.0 1578.0 109670;2816.0 108.0 109671;2345.0 104.0 109674;9993.0 619.0 109676;1190.0 30.0 109678;1600.0 62.0 109679;1092.0 34.0 109680;886.0 30.0 109681;1344.0 63.0 109682;433.0 15.0 109683,109628.0 20000;109635.0 20000;109648.0 20000;109652.0 20000;109656.0 20000;109660.0 20000;109661.0 20000;109662.0 11937;109663.0 20000;109665.0 11937;109666.0 20000;109667.0 20000;109668.0 20000;109670.0 20000;109671.0 11937;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000,109628 912;109635 972;109648 988;109652 979;109656 998;109660 916;109661 1015;109662 293;109663 984;109665 267;109666 969;109667 1016;109668 926;109670 948;109671 270;109674 958;109676 942;109678 984;109679 938;109680 957;109681 899;109682 895;109683 974
data,1241679300,1342215.0;49367.0;1348715.0;61946.0;1269526.0;47065.0;1346370.0;54903.0;1.24875842796;1.00795655863;1.10870754097,1529.0 26.0 109648;2813.0 93.0 109666;24494.0 1189.0 109635;3214.0 117.0 109668;25057.0 1596.0 109670;2811.0 37.0 109660;2383.0 104.0 109674;10157.0 621.0 109676;1216.0 31.0 109678;1670.0 62.0 109679;1142.0 36.0 109680;911.0 30.0 109681;1389.0 63.0 109682;466.0 17.0 109683;8540.0 335.0 109652;6136.0 227.0 109656;2130.0 41.0 109667;8450.0 206.0 109628;4155.0 160.0 109661;6405.0 286.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 985;109666 978;109635 1007;109668 974;109670 1048;109660 1031;109674 982;109676 1029;109678 1000;109679 1008;109680 980;109681 940;109682 1018;109683 937;109652 992;109656 987;109667 1067;109628 1008;109661 988;109663 1041
data,1241679300,1342477.0;49377.0;1348972.0;61957.0;1269777.0;47071.0;1346657.0;54907.0;1.2487330302;1.00787836422;1.10854384882,1532.0 26.0 109648;24499.0 1189.0 109635;2135.0 41.0 109667;3219.0 118.0 109668;25164.0 1604.0 109670;2813.0 37.0 109660;2392.0 104.0 109674;10191.0 622.0 109676;2824.0 94.0 109666;1219.0 31.0 109678;1685.0 62.0 109679;1154.0 36.0 109680;919.0 30.0 109681;1394.0 63.0 109682;472.0 17.0 109683;8549.0 335.0 109652;6142.0 227.0 109656;8450.0 206.0 109628;4157.0 160.0 109661;6415.0 286.0 109663,109648.0 5405;109666.0 5405;109635.0 5405;109668.0 5405;109670.0 5405;109628.0 5405;109674.0 5405;109676.0 5405;109678.0 5405;109679.0 5405;109680.0 5405;109681.0 5405;109682.0 5405;109683.0 5405;109652.0 5405;109656.0 5405;109667.0 5405;109660.0 5405;109661.0 5405;109663.0 5405,109648 287;109635 238;109667 268;109668 285;109670 273;109660 277;109674 261;109676 287;109666 241;109678 276;109679 285;109680 246;109681 282;109682 262;109683 285;109652 272;109656 267;109628 277;109661 271;109663 265
