data,1241749200,1554110.0;57362.0;1493205.0;61680.0;1456744.0;54127.0;1556138.0;83320.0;1.11913479691;1.00667246254;1.45063657444,4412.0 173.0 109696;4076.0 91.0 109697;8723.0 302.0 109698;4216.0 265.0 109699;7141.0 294.0 109700;2953.0 79.0 109701;3244.0 86.0 109702;10566.0 710.0 109703;1841.0 128.0 109704;2617.0 83.0 109706;393.0 8.0 109707;1640.0 95.0 109708;7429.0 303.0 109709;2368.0 93.0 109710;20603.0 916.0 109635;4876.0 157.0 109651;8012.0 90.0 109660;10339.0 276.0 109667;8350.0 303.0 109673;4489.0 221.0 109675;9715.0 399.0 109683;4035.0 203.0 109689;5665.0 235.0 109690,109696.0 8333;109697.0 8333;109698.0 8333;109699.0 8333;109700.0 8333;109701.0 8333;109702.0 8333;109703.0 8333;109704.0 8333;109706.0 8333;109707.0 8333;109708.0 8333;109709.0 8333;109710.0 8333;109635.0 8333;109651.0 8333;109660.0 8333;109667.0 8333;109673.0 8333;109675.0 8333;109683.0 8333;109689.0 8333;109690.0 8333,109696 378;109697 376;109698 325;109699 357;109700 354;109701 333;109702 402;109703 371;109704 370;109706 377;109707 360;109708 358;109709 377;109710 365;109635 371;109651 363;109660 349;109667 340;109673 359;109675 359;109683 346;109689 377;109690 366
data,1241752500,1563273.0;57673.0;1502253.0;61977.0;1465994.0;54422.0;1565284.0;83652.0;1.11827793179;1.00624697858;1.4485899471,4700.0 180.0 109696;4814.0 108.0 109697;9716.0 333.0 109698;4678.0 281.0 109699;7368.0 302.0 109700;3093.0 80.0 109701;3404.0 88.0 109702;11378.0 758.0 109703;1994.0 132.0 109704;2819.0 89.0 109706;544.0 14.0 109707;2109.0 118.0 109708;8088.0 323.0 109709;3090.0 114.0 109710;21527.0 954.0 109635;5256.0 168.0 109651;8356.0 92.0 109660;10622.0 281.0 109667;8562.0 308.0 109673;4624.0 226.0 109675;9871.0 405.0 109683;4284.0 212.0 109689;5854.0 241.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 863;109697 850;109698 848;109699 904;109700 832;109701 878;109702 874;109703 868;109704 905;109706 872;109707 837;109708 840;109709 843;109710 831;109635 854;109651 900;109660 883;109667 827;109673 863;109675 938;109683 920;109689 877;109690 893
data,1241752800,1564077.0;57692.0;1503166.0;62010.0;1466836.0;54455.0;1566170.0;83674.0;1.11840042202;1.00646513969;1.44841883878,4809.0 182.0 109696;4841.0 108.0 109697;9730.0 334.0 109698;4741.0 284.0 109699;7439.0 306.0 109700;3105.0 80.0 109701;3417.0 88.0 109702;11394.0 758.0 109703;2002.0 132.0 109704;2830.0 90.0 109706;556.0 15.0 109707;2256.0 127.0 109708;8261.0 329.0 109709;3165.0 116.0 109710;21543.0 956.0 109635;5307.0 168.0 109651;8375.0 93.0 109660;10635.0 281.0 109667;8575.0 308.0 109673;4633.0 227.0 109675;9885.0 405.0 109683;4299.0 212.0 109689;5866.0 241.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 895;109697 868;109698 850;109699 832;109700 869;109701 861;109702 802;109703 874;109704 839;109706 877;109707 895;109708 914;109709 842;109710 928;109635 870;109651 867;109660 823;109667 862;109673 913;109675 903;109683 867;109689 877;109690 872
data,1241753400,1564911.0;57725.0;1504064.0;62058.0;1467712.0;54481.0;1567025.0;83708.0;1.11855452819;1.00630568716;1.44816064893,4860.0 183.0 109696;4867.0 109.0 109697;9748.0 335.0 109698;4781.0 287.0 109699;7569.0 310.0 109700;3116.0 81.0 109701;3432.0 88.0 109702;11408.0 759.0 109703;2019.0 134.0 109704;2843.0 90.0 109706;569.0 15.0 109707;2320.0 130.0 109708;8586.0 353.0 109709;3187.0 117.0 109710;21574.0 957.0 109635;5356.0 169.0 109651;8385.0 94.0 109660;10642.0 282.0 109667;8586.0 308.0 109673;4639.0 227.0 109675;9895.0 407.0 109683;4304.0 212.0 109689;5876.0 241.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 903;109697 818;109698 835;109699 870;109700 865;109701 884;109702 860;109703 862;109704 895;109706 898;109707 856;109708 873;109709 873;109710 886;109635 822;109651 878;109660 850;109667 837;109673 871;109675 877;109683 948;109689 884;109690 855
data,1241753700,1565788.0;57751.0;1504944.0;62088.0;1468569.0;54505.0;1567921.0;83738.0;1.11856385674;1.00627211755;1.4480109922,4876.0 184.0 109696;4903.0 109.0 109697;9783.0 336.0 109698;4839.0 287.0 109699;7730.0 315.0 109700;3134.0 81.0 109701;3443.0 88.0 109702;11436.0 762.0 109703;2032.0 135.0 109704;2863.0 91.0 109706;581.0 17.0 109707;2348.0 130.0 109708;8883.0 362.0 109709;3200.0 117.0 109710;21588.0 957.0 109635;5404.0 170.0 109651;8392.0 94.0 109660;10648.0 282.0 109667;8598.0 310.0 109673;4656.0 228.0 109675;9903.0 408.0 109683;4315.0 212.0 109689;5887.0 243.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 885;109697 846;109698 847;109699 863;109700 837;109701 903;109702 860;109703 893;109704 889;109706 865;109707 838;109708 917;109709 894;109710 934;109635 878;109651 873;109660 829;109667 845;109673 857;109675 893;109683 832;109689 855;109690 867
data,1241754000,1566708.0;57779.0;1505786.0;62122.0;1469461.0;54529.0;1568774.0;83781.0;1.11866542202;1.00620740475;1.44811548223,4934.0 188.0 109696;4919.0 109.0 109697;9802.0 337.0 109698;4961.0 297.0 109699;7937.0 322.0 109700;3147.0 81.0 109701;3451.0 88.0 109702;11502.0 767.0 109703;2043.0 135.0 109704;2874.0 91.0 109706;592.0 17.0 109707;2360.0 130.0 109708;9008.0 366.0 109709;3223.0 118.0 109710;21599.0 958.0 109635;5424.0 170.0 109651;8408.0 94.0 109660;10679.0 282.0 109667;8612.0 310.0 109673;4671.0 228.0 109675;9914.0 409.0 109683;4324.0 212.0 109689;5900.0 243.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 863;109697 889;109698 821;109699 841;109700 819;109701 859;109702 882;109703 915;109704 896;109706 877;109707 868;109708 854;109709 886;109710 888;109635 869;109651 851;109660 869;109667 882;109673 882;109675 851;109683 873;109689 882;109690 883
data,1241754300,1567579.0;57818.0;1506690.0;62158.0;1470339.0;54563.0;1569729.0;83828.0;1.11850903961;1.00611386988;1.4478740855,5028.0 193.0 109696;4942.0 110.0 109697;9836.0 338.0 109698;5056.0 300.0 109699;8208.0 330.0 109700;3165.0 82.0 109701;3463.0 88.0 109702;11597.0 773.0 109703;2059.0 136.0 109704;2884.0 91.0 109706;604.0 17.0 109707;2371.0 131.0 109708;9070.0 371.0 109709;3242.0 119.0 109710;21610.0 958.0 109635;5446.0 170.0 109651;8433.0 95.0 109660;10698.0 282.0 109667;8624.0 310.0 109673;4683.0 228.0 109675;9924.0 410.0 109683;4334.0 212.0 109689;5911.0 244.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 862;109697 860;109698 857;109699 837;109700 953;109701 929;109702 856;109703 823;109704 863;109706 832;109707 820;109708 887;109709 916;109710 902;109635 873;109651 872;109660 857;109667 863;109673 884;109675 885;109683 865;109689 875;109690 829
data,1241754900,1568445.0;57850.0;1507539.0;62185.0;1471217.0;54591.0;1570627.0;83866.0;1.11836357399;1.00602841179;1.4477007574,5273.0 201.0 109696;4953.0 110.0 109697;9857.0 338.0 109698;5188.0 307.0 109699;8254.0 331.0 109700;3173.0 82.0 109701;3469.0 88.0 109702;11728.0 778.0 109703;2070.0 136.0 109704;2891.0 91.0 109706;611.0 17.0 109707;2382.0 131.0 109708;9108.0 372.0 109709;3250.0 119.0 109710;21623.0 960.0 109635;5478.0 171.0 109651;8447.0 95.0 109660;10748.0 282.0 109667;8636.0 311.0 109673;4699.0 229.0 109675;9933.0 410.0 109683;4350.0 212.0 109689;5916.0 244.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 850;109697 859;109698 921;109699 850;109700 871;109701 869;109702 849;109703 866;109704 816;109706 912;109707 884;109708 877;109709 903;109710 853;109635 887;109651 852;109660 859;109667 874;109673 881;109675 926;109683 871;109689 804;109690 866
data,1241755200,1569340.0;57879.0;1508406.0;62220.0;1472089.0;54623.0;1571465.0;83904.0;1.11842735547;1.00609156192;1.44768467906,5650.0 218.0 109696;4984.0 111.0 109697;9882.0 339.0 109698;5285.0 312.0 109699;8265.0 331.0 109700;3187.0 82.0 109701;3482.0 88.0 109702;11830.0 784.0 109703;2077.0 136.0 109704;2900.0 91.0 109706;620.0 17.0 109707;2392.0 131.0 109708;9123.0 372.0 109709;3259.0 119.0 109710;21639.0 961.0 109635;5505.0 172.0 109651;8462.0 95.0 109660;10776.0 282.0 109667;8647.0 312.0 109673;4713.0 230.0 109675;9940.0 411.0 109683;4362.0 212.0 109689;5924.0 244.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 861;109697 905;109698 850;109699 783;109700 883;109701 907;109702 919;109703 923;109704 871;109706 876;109707 841;109708 850;109709 858;109710 920;109635 850;109651 854;109660 864;109667 873;109673 914;109675 836;109683 833;109689 848;109690 881
data,1241755500,1570222.0;57900.0;1509292.0;62254.0;1472995.0;54658.0;1572301.0;83932.0;1.11860430244;1.00631734379;1.44768600308,5829.0 221.0 109696;5029.0 115.0 109697;9934.0 340.0 109698;5476.0 318.0 109699;8278.0 331.0 109700;3193.0 82.0 109701;3493.0 88.0 109702;12031.0 798.0 109703;2085.0 136.0 109704;2908.0 91.0 109706;631.0 17.0 109707;2401.0 132.0 109708;9134.0 372.0 109709;3270.0 119.0 109710;21648.0 961.0 109635;5525.0 173.0 109651;8468.0 95.0 109660;10794.0 282.0 109667;8657.0 314.0 109673;4719.0 230.0 109675;9952.0 411.0 109683;4379.0 213.0 109689;5956.0 245.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 877;109697 879;109698 855;109699 878;109700 908;109701 884;109702 872;109703 861;109704 846;109706 897;109707 853;109708 881;109709 852;109710 868;109635 897;109651 873;109660 823;109667 865;109673 851;109675 858;109683 934;109689 861;109690 827
data,1241756100,1571060.0;57938.0;1510119.0;62286.0;1473852.0;54679.0;1573184.0;83965.0;1.11842931451;1.00599531972;1.44726494684,5915.0 223.0 109696;5087.0 116.0 109697;10055.0 342.0 109698;5586.0 325.0 109699;8287.0 332.0 109700;3206.0 83.0 109701;3505.0 88.0 109702;12193.0 804.0 109703;2096.0 137.0 109704;2919.0 91.0 109706;644.0 18.0 109707;2417.0 133.0 109708;9148.0 373.0 109709;3275.0 119.0 109710;21660.0 962.0 109635;5600.0 177.0 109651;8477.0 95.0 109660;10803.0 282.0 109667;8665.0 314.0 109673;4728.0 230.0 109675;9967.0 412.0 109683;4388.0 213.0 109689;5996.0 247.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 861;109697 908;109698 880;109699 910;109700 822;109701 882;109702 857;109703 876;109704 850;109706 912;109707 913;109708 878;109709 922;109710 847;109635 908;109651 865;109660 850;109667 820;109673 843;109675 813;109683 847;109689 859;109690 877
data,1241756400,1571987.0;57967.0;1510952.0;62312.0;1474730.0;54709.0;1574067.0;83993.0;1.118379373;1.00603800437;1.44706488455,5972.0 225.0 109696;5102.0 116.0 109697;10218.0 345.0 109698;5734.0 333.0 109699;8301.0 333.0 109700;3214.0 83.0 109701;3510.0 88.0 109702;12296.0 808.0 109703;2109.0 138.0 109704;2929.0 91.0 109706;652.0 18.0 109707;2428.0 133.0 109708;9159.0 373.0 109709;3296.0 120.0 109710;21670.0 963.0 109635;5732.0 180.0 109651;8489.0 95.0 109660;10814.0 282.0 109667;8679.0 314.0 109673;4740.0 230.0 109675;9975.0 412.0 109683;4406.0 213.0 109689;6025.0 249.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 840;109697 873;109698 877;109699 837;109700 895;109701 816;109702 888;109703 840;109704 851;109706 899;109707 886;109708 878;109709 870;109710 847;109635 846;109651 830;109660 878;109667 918;109673 914;109675 885;109683 896;109689 846;109690 890
data,1241757000,1572845.0;57993.0;1511802.0;62344.0;1475606.0;54729.0;1574972.0;84024.0;1.11843332326;1.00590612115;1.44690782631,6029.0 226.0 109696;5113.0 117.0 109697;10317.0 347.0 109698;5928.0 347.0 109699;8315.0 333.0 109700;3228.0 83.0 109701;3523.0 89.0 109702;12344.0 809.0 109703;2125.0 140.0 109704;2947.0 91.0 109706;666.0 18.0 109707;2437.0 134.0 109708;9165.0 373.0 109709;3343.0 122.0 109710;21688.0 964.0 109635;5930.0 185.0 109651;8501.0 95.0 109660;10833.0 282.0 109667;8683.0 314.0 109673;4745.0 230.0 109675;9980.0 412.0 109683;4422.0 214.0 109689;6038.0 249.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 900;109697 843;109698 826;109699 875;109700 864;109701 806;109702 880;109703 879;109704 900;109706 875;109707 893;109708 867;109709 893;109710 901;109635 868;109651 894;109660 849;109667 879;109673 848;109675 845;109683 862;109689 860;109690 893
